
,Gene names,Location,median log conc uM median norm,conc uM
66,4632419I22RIK,astrocytes,-4.88660521816852,0.007546999452925
67,4632428N05RIK,astrocytes,-7.21647271675137,0.000734388251094
68,4632428N05RIK,neurons,-7.73387800132402,0.000437743252343
69,4930402H24RIK,astrocytes,-3.84444515852396,0.021398270916267
70,4930402H24RIK,neurons,-5.44161860249957,0.004332465053654
71,4930417G10RIK,astrocytes,-4.18343166333123,0.015246098216342
72,4930433I11RIK,neurons,-6.48957462555243,0.001519195097419
73,4930433I11RIK,"subcellular,not specified",-3.90301788398294,0.020180915790667
74,4931406P16RIK,astrocytes,-4.75020954380686,0.008649882483901
75,4931406P16RIK,neurons,-4.58636456632746,0.010189835589957
76,4931406P16RIK,"subcellular,not specified",-1.99370065349282,0.136190497899082
77,4932415D10RIK,astrocytes,-5.20262757106223,0.005502088282596
78,4932425I24RIK,astrocytes,-7.51585306629056,0.000544385421651
79,4933426M11RIK,astrocytes,-4.51669370944962,0.010925085527253
80,4933427D14RIK,"subcellular,not specified",-7.65249686951278,0.00047485699163
81,4933433C11RIK,astrocytes,-0.247703265957642,0.780591536997668
82,5031439G07RIK,astrocytes,-3.86320936849824,0.021000492933755
83,5031439G07RIK,neurons,-2.99159013025345,0.050207536691654
84,5031439G07RIK,"subcellular,not specified",-4.13860130225118,0.015945138343708
85,5430402E10RIK,astrocytes,-5.39360189540973,0.004545571142144
86,5430413K10RIK,neurons,-6.23760113888384,0.001954538570185
87,5730419I09RIK,astrocytes,-5.61114736211575,0.003656871194314
88,5730419I09RIK,neurons,-4.36263697304289,0.012744735774816
89,6430571L13RIK,"subcellular,not specified",-7.20421891812377,0.000743442658986
90,8030462N17RIK,astrocytes,-5.38478772340187,0.004585813679854
91,8030462N17RIK,"subcellular,not specified",-3.48189933822315,0.030748952872903
92,9130023H24RIK,neurons,-4.7388161515796,0.008748997543967
93,9230110C19RIK,astrocytes,-4.06045744868124,0.017241130378783
94,9230110C19RIK,neurons,-5.00535667863565,0.006701950479315
95,9330182L06RIK,astrocytes,-5.61869634229364,0.0036293694817
96,9330182L06RIK,neurons,-3.43292920716077,0.032292211522612
97,9430015G10RIK,"subcellular,not specified",-7.33692467870882,0.000651049632209
98,9930021J03RIK,neurons,-7.0653660932505,0.000854182152793
99,9930021J03RIK,"subcellular,not specified",-6.82038625357603,0.001091299322597
100,A1M,axon,-3.1202071846084,0.044148020681714
101,A1M,neurons,-5.2188194693931,0.005413716413428
102,A230065H16RIK,"subcellular,not specified",-7.37130617198236,0.000629046
103,A2M,astrocytes,-4.58879369270479,0.010165113230569
104,A2M,lysosome,-2.36496092295027,0.093952971701694
105,A2M,neurons,-6.34476042091858,0.001755923374838
106,A430005L14RIK,astrocytes,-4.14716647923269,0.015809148631153
107,A430005L14RIK,"subcellular,not specified",-2.91720079614517,0.054084870182889
108,A730017C20RIK,"subcellular,not specified",-6.59932249939217,0.00136129
109,A830010M20RIK,"subcellular,not specified",-5.89648830175304,0.002749081833576
110,AA467197,astrocytes,-2.51991239050658,0.08046665608371
111,AAAS,astrocytes,-2.37406867171381,0.093101156587116
112,AAAS,large protein complex,-2.22736669733756,0.107811958180899
113,AAAS,neurons,-1.91433240576246,0.147440229985659
114,AACS,actin binding proteins,-1.20920453435916,0.298434579489375
115,AACS,astrocytes,-2.22913312624977,0.10762168412316
116,AACS,axon,-5.54363527336805,0.003912278753394
117,AACS,neurons,-3.66916539113025,0.025497741710035
118,AAGAB,astrocytes,-3.79521265475106,0.022478125228321
119,AAGAB,axon,-6.65607407473769,0.001286185941301
120,AAGAB,neurons,-4.00108502125035,0.018295776808664
121,AAGAB,"subcellular,not specified",-4.0624963857904,0.017206012611875
122,AAK1,astrocytes,-2.62263836397019,0.072611035543597
123,AAK1,axon,-3.85472043858412,0.021179523460121
124,AAK1,endosome,-2.71594108475105,0.066142677843054
125,AAK1,neurons,-1.96264829521346,0.14048587975637
126,AAMDC,astrocytes,-3.67478747182221,0.025354793558223
127,AAMDC,neurons,-3.65849737033878,0.025771208228464
128,AAMDC,"subcellular,not specified",-1.55774226494291,0.21061103874916
129,AAMP,astrocytes,-4.20522357117299,0.014917450584298
130,AAMP,neurons,-4.67112257748504,0.009361754331416
131,AAMP,"subcellular,not specified",-2.32869350677163,0.09742294639868
132,AAR2,astrocytes,-5.02355715637368,0.006581075110267
133,AAR2,neurons,-3.90433397114701,0.020154373416306
134,AAR2,"subcellular,not specified",-4.38535164721526,0.01245850636489
135,AARS,astrocytes,-0.807907859983873,0.445789745847061
136,AARS,axon,-1.96523400172558,0.140123093733443
137,AARS,cytoplasm,-4.395645348313,0.01233092001869
138,AARS,endosome,0.085138703367232,1.08886808589471
139,AARS,neurons,-0.413865657157434,0.661089757977784
140,AARS2,astrocytes,-4.23966704575057,0.014412389710732
141,AARS2,mitochondria,-3.54988868936379,0.028727837190111
142,AARS2,neurons,-3.38905103275161,0.033740680512725
143,AARSD1,astrocytes,-2.17309659482997,0.113824601946853
144,AARSD1,axon,-3.90567296663337,0.020127404860688
145,AARSD1,large protein complex,-1.57938731584361,0.20610133455172
146,AARSD1,neurons,-1.93410101983739,0.14455416175305
147,AASDHPPT,astrocytes,-5.01469458866717,0.006639659554857
148,AASDHPPT,axon,-6.65785393114227,0.001283898751055
149,AASDHPPT,neurons,-4.10484758753939,0.016492532314246
150,AASDHPPT,"subcellular,not specified",-3.92331819866536,0.019775367159171
151,AASS,astrocytes,-3.86973872415474,0.020863819925328
152,AASS,mitochondria,-3.31140463997805,0.036464917682831
153,AASS,neurons,-5.06639124647679,0.006305132804171
154,AATF,astrocytes,-4.35952735339907,0.012784428738561
155,AATF,large protein complex,-2.44413765582954,0.086800954934263
156,AATF,neurons,-3.35194505889789,0.03501617928923
157,AATK,astrocytes,-6.04880207509375,0.002360688240583
158,AATK,neurons,-6.33790052193815,0.001768010241751
159,AATK,"subcellular,not specified",-9.02071223999979,0.00012088
160,ABAT,astrocytes,-2.15832461914551,0.115518496481417
161,ABAT,axon,-3.76900891715327,0.023074921116862
162,ABAT,mitochondria,-3.89944008358051,0.020253248397961
163,ABAT,neurons,-0.203492099146625,0.815876650418995
164,ABCA1,astrocytes,-3.55902288256991,0.028466626366031
165,ABCA1,neurons,-6.61184472095198,0.00134434991015
166,ABCA1,plasma membrane,-5.4436900447061,0.004323499891297
167,ABCA1,"subcellular,not specified",-8.36729147865121,0.000232344010973
168,ABCA12,"subcellular,not specified",-9.71510879177001,6.0364535155669E-05
169,ABCA13,neurons,-4.88568804501151,0.007553924533502
170,ABCA2,astrocytes,-5.7378122404492,0.003221809114328
171,ABCA2,axon,-8.58221983543051,0.000187408499294
172,ABCA2,neurons,-4.949001685458,0.007090483930144
173,ABCA2,"subcellular,not specified",-6.92388816005053,0.000983996556854
174,ABCA3,astrocytes,-4.71842389006631,0.008929240928928
175,ABCA3,neurons,-4.58893030607443,0.01016372463505
176,ABCA3,"subcellular,not specified",-7.65113574193512,0.000475503772653
177,ABCA5,astrocytes,-4.90187612744134,0.007432625429332
178,ABCA5,axon,-8.0051201316509,0.00033374940479
179,ABCA5,neurons,-5.06387849222857,0.006320995975189
180,ABCA5,"subcellular,not specified",-8.20046929015296,0.000274524707995
181,ABCA6,astrocytes,-5.65983626914377,0.003483087140367
182,ABCA7,astrocytes,-6.30743185702774,0.001822708208923
183,ABCA7,neurons,-5.70246342710409,0.003337733059593
184,ABCA9,astrocytes,-6.23829525576585,0.001953182362705
185,ABCA9,neurons,-6.10878169849332,0.002223257761804
186,ABCB1,"subcellular,not specified",-8.53569588849841,0.00019633348539
187,ABCB10,astrocytes,-3.05882683995717,0.046942734269015
188,ABCB10,mitochondria,-5.046550819593,0.006431478562898
189,ABCB10,neurons,-4.21593436917913,0.014758525411373
190,ABCB1A,astrocytes,-5.13050012279073,0.005913602206756
191,ABCB1A,neurons,-4.64854201861888,0.009575552735668
192,ABCB1A,"subcellular,not specified",-5.6958900966514,0.003359745349725
193,ABCB1B,astrocytes,-5.50409455048569,0.00407007215784
194,ABCB1B,neurons,-2.752452080012,0.063771297008451
195,ABCB6,astrocytes,-4.79211073574419,0.008294930484836
196,ABCB6,axon,-5.59639722055489,0.003711210331891
197,ABCB6,lysosome,-5.01190979283911,0.006658175420572
198,ABCB6,neurons,-4.01715189870434,0.018004169685747
199,ABCB7,astrocytes,-2.25461694454713,0.104913723814185
200,ABCB7,axon,-6.31608434601679,0.001807005278897
201,ABCB7,mitochondria,-3.77147232326485,0.023018148171279
202,ABCB7,neurons,-3.47672165322935,0.030908574142495
203,ABCB8,astrocytes,-3.47067691307364,0.031095974263673
204,ABCB8,axon,-7.03703487188459,0.000878728245016
205,ABCB8,mitochondria,-4.70262342143208,0.00907144762786
206,ABCB8,neurons,-3.73774358918518,0.023807762662714
207,ABCB8,"subcellular,not specified",-6.10587716336744,0.002229724679215
208,ABCB9,axon,-5.46477120038029,0.004233309515843
209,ABCB9,neurons,-4.48286436754666,0.011300996542544
210,ABCC1,astrocytes,-3.612881322444,0.026974013957524
211,ABCC1,axon,-7.01001870764288,0.000902791699133
212,ABCC1,neurons,-4.90613571301322,0.007401032858689
213,ABCC1,plasma membrane,-1.79512547697926,0.166106608483679
214,ABCC1,"subcellular,not specified",-6.77688886594449,0.00113981550665
215,ABCC3,astrocytes,-5.3034214009824,0.004974544845083
216,ABCC3,neurons,-5.20214730768772,0.005504731368719
217,ABCC3,plasma membrane,-5.75897111618846,0.003154355394615
218,ABCC3,"subcellular,not specified",-4.98270597549105,0.006855486656992
219,ABCC4,astrocytes,-6.18567026277817,0.002058721205894
220,ABCC4,neurons,-5.78176940501165,0.003083255051929
221,ABCC4,plasma membrane,-2.35172936911674,0.095204376260664
222,ABCC5,astrocytes,-6.21026059454124,0.002008713935972
223,ABCC5,neurons,-6.76629039325791,0.001151960053308
224,ABCC5,"subcellular,not specified",-8.84754489618828,0.000143734185797
225,ABCC8,astrocytes,-5.67763097416886,0.003421654838021
226,ABCC8,neurons,-5.84588651419308,0.002891769980892
227,ABCC8,"subcellular,not specified",-8.62921660861702,0.000178804664346
228,ABCC9,"subcellular,not specified",-9.07554891469579,0.000114429812442
229,ABCD1,astrocytes,-3.50672040175155,0.029995125263147
230,ABCD1,neurons,-4.26792881123143,0.014010772075973
231,ABCD1,peroxisome,-4.7553812801043,0.00860526305211
232,ABCD1,"subcellular,not specified",-6.68185955514215,0.001253444954037
233,ABCD2,peroxisome,-3.1147752104284,0.044388484094414
234,ABCD3,astrocytes,-1.5025529325468,0.222561250403504
235,ABCD3,axon,-4.87996301445216,0.007597295012499
236,ABCD3,neurons,-1.62326859346212,0.197252904684261
237,ABCD3,peroxisome,-2.10675211108469,0.121632374029996
238,ABCD4,astrocytes,-3.58517814738885,0.027731726855373
239,ABCD4,neurons,-4.83031217409145,0.007984028470049
240,ABCD4,"subcellular,not specified",-6.76339357266022,0.001155301912965
241,ABCE1,astrocytes,-1.41662104911199,0.242532138106373
242,ABCE1,large protein complex,-0.425763918155203,0.653270549233624
243,ABCE1,neurons,-1.30681186035618,0.270681653118707
244,ABCE1,"subcellular,not specified",-5.24556223051377,0.005270857424516
245,ABCF1,astrocytes,-2.84773478968346,0.057975498944104
246,ABCF1,axon,-5.05549801568576,0.006374191524375
247,ABCF1,large protein complex,-1.14881715146225,0.31701152431418
248,ABCF1,neurons,-3.88983005423691,0.020448820933135
249,ABCF1,"subcellular,not specified",-5.62670702135755,0.003600411907348
250,ABCF2,astrocytes,-1.8844476660641,0.15191294293513
251,ABCF2,large protein complex,-0.926683628335668,0.395864369231433
252,ABCF2,neurons,-1.23959730566711,0.289500774790458
253,ABCF3,astrocytes,-5.28958025398195,0.005043876962692
254,ABCF3,axon,-7.11306449153913,0.000814395456173
255,ABCF3,endosome,-2.7481002801677,0.064049421661323
256,ABCF3,neurons,-4.53304973464382,0.010747847955408
257,ABCG1,"subcellular,not specified",-8.91133197509124,0.00013485209468
258,ABCG2,astrocytes,-4.30426036408773,0.013510874975413
259,ABCG2,cytoplasm,-5.95865874781543,0.002583374606209
260,ABCG2,neurons,-3.89396970594754,0.020364344907877
261,ABCG2,plasma membrane,-4.39004966217471,0.012400113388554
262,ABCG4,neurons,-6.76611728862548,0.00115215948019
263,ABHD1,astrocytes,-3.97943578179655,0.018696185090363
264,ABHD10,astrocytes,-2.4935423517548,0.08261678988364
265,ABHD10,mitochondria,-2.46040370402068,0.085400467495136
266,ABHD10,neurons,-2.54353932285267,0.078587759529383
267,ABHD11,astrocytes,-2.90334227103257,0.054839624525814
268,ABHD11,mitochondria,-3.65855031234868,0.025769843885019
269,ABHD11,neurons,-2.05678017700817,0.127865010501372
270,ABHD11,"subcellular,not specified",-3.82907463607984,0.021729714222695
271,ABHD12,astrocytes,-1.9096300763296,0.148135175168756
272,ABHD12,axon,-4.03515440959304,0.017682949485334
273,ABHD12,er,-3.44148569981036,0.032017082201684
274,ABHD12,neurons,-1.84136001570144,0.158601578724937
275,ABHD13,astrocytes,-4.7740994350742,0.008445686552765
276,ABHD13,"subcellular,not specified",-5.94915896700169,0.002608033038134
277,ABHD14A,neurons,-4.6549419310215,0.009514465721228
278,ABHD14A,"subcellular,not specified",-6.56562160667909,0.001407948488653
279,ABHD14B,astrocytes,-2.81719525155036,0.059773357052153
280,ABHD14B,neurons,-4.52270413560857,0.010859618048221
281,ABHD14B,"subcellular,not specified",-5.01329104253677,0.006648985166264
282,ABHD16A,astrocytes,-2.3564323206975,0.094757685893733
283,ABHD16A,axon,-5.72384744507221,0.0032671166382
284,ABHD16A,er,-4.06578898286638,0.017149453309654
285,ABHD16A,mitochondria,-6.8708057282872,0.001037640671267
286,ABHD16A,neurons,-2.15408285769172,0.116009539093545
287,ABHD17A,"subcellular,not specified",-7.23884400081691,0.000718141451387
288,ABHD17B,astrocytes,-3.24931747092449,0.038800681389406
289,ABHD17B,axon,-4.88949517661066,0.007525220423546
290,ABHD17B,neurons,-3.13732150936315,0.043398885871749
291,ABHD17B,"subcellular,not specified",-7.17003157737995,0.000769298438414
292,ABHD17C,astrocytes,-6.33998299034831,0.001764332247256
293,ABHD17C,neurons,-3.56489371280579,0.028299993251219
294,ABHD17C,"subcellular,not specified",-5.6613235462799,0.003477910674874
295,ABHD2,astrocytes,-4.35548327298278,0.012836234679547
296,ABHD2,"subcellular,not specified",-7.67188356221899,0.000465739747215
297,ABHD3,astrocytes,-3.75415328454013,0.023420272523086
298,ABHD3,neurons,-4.39712026157583,0.012312746386771
299,ABHD4,astrocytes,-3.77465486564914,0.022945008386082
300,ABHD4,neurons,-4.79844873525823,0.008242523472697
301,ABHD5,astrocytes,-5.73914453285418,0.003217519580606
302,ABHD5,axon,-6.06910420933573,0.002313244465555
303,ABHD5,neurons,-4.8257621964737,0.008020438390234
304,ABHD6,astrocytes,-1.10346140804796,0.33172087287296
305,ABHD6,axon,-5.20600630421199,0.005483529564655
306,ABHD6,er,-1.97550347010782,0.138691467653926
307,ABHD6,neurons,-2.41514969819552,0.089353961793669
308,ABI1,astrocytes,-1.6914058647347,0.18426029676325
309,ABI1,axon,-3.08880910271488,0.045556174837665
310,ABI1,large protein complex,-2.19334209227987,0.111543336851647
311,ABI1,neurons,-1.55095602199455,0.212045157059558
312,ABI2,astrocytes,-4.3641467950467,0.012725508011213
313,ABI2,large protein complex,-3.56237800524041,0.028371277385765
314,ABI2,neurons,-4.3932771904673,0.012360156187945
315,ABI3,astrocytes,-6.90249137601163,0.001005277781649
316,ABI3,neurons,-5.77874492159898,0.003092594421957
317,ABITRAM,astrocytes,-4.05834397964371,0.017277607507073
318,ABITRAM,neurons,-4.38987660912609,0.012402259451665
319,ABITRAM,"subcellular,not specified",-2.39856448955978,0.090848273374016
320,ABL1,astrocytes,-5.3156564451638,0.004914051890735
321,ABL1,large protein complex,-5.16230563284679,0.005728476683814
322,ABL1,neurons,-4.7072409374077,0.009029656633063
323,ABL2,astrocytes,-4.23929176301003,0.014417799446867
324,ABL2,large protein complex,-4.54077009952072,0.010665190132389
325,ABL2,neurons,-4.00503997083689,0.018223560833142
326,ABLIM1,astrocytes,-4.13907052250154,0.01593765831693
327,ABLIM1,neurons,-2.97202765232178,0.051199390447911
328,ABLIM1,plasma membrane,-2.93704715272321,0.053022063864772
329,ABLIM2,astrocytes,-4.25813860598463,0.01414861405993
330,ABLIM2,axon,-8.22811431722279,0.000267039407393
331,ABLIM2,neurons,-4.24632895944814,0.014316694724094
332,ABLIM3,astrocytes,-5.89027847704463,0.002766206264701
333,ABLIM3,neurons,-4.23636023512074,0.014460127640874
334,ABP1,astrocytes,-6.52786801716587,0.001462119743418
335,ABR,astrocytes,-3.85432170368125,0.021187970159236
336,ABR,neurons,-2.46923252312657,0.084649800842183
337,ABR,"subcellular,not specified",-4.47857728677558,0.011349548826936
338,ABRACL,astrocytes,-1.05667667665923,0.347609110344034
339,ABRACL,neurons,-0.419487533770571,0.657383620413461
340,ABRACL,"subcellular,not specified",1.21889339349038,3.38344152279894
341,ABT1,astrocytes,-4.93860871609025,0.007164559377597
342,ABT1,neurons,-3.89433902268486,0.020356825403083
343,ABT1,"subcellular,not specified",-3.70414272444125,0.024621315574924
344,ABTB2,astrocytes,-5.58685186742729,0.003746804755449
345,ABTB2,neurons,-4.12662686754594,0.016137220101741
346,ACAA1,peroxisome,-1.6421419892876,0.193564983802409
347,ACAA1A,astrocytes,0.129010830407401,1.13770244588
348,ACAA1A,axon,-3.06089984987788,0.04684552231066
349,ACAA1A,neurons,-1.28948897719656,0.275411488685853
350,ACAA1A,peroxisome,-0.792356783422393,0.452776440827038
351,ACAA2,astrocytes,0.314879366556167,1.37009402182727
352,ACAA2,axon,-5.0295647139539,0.006541657443106
353,ACAA2,mitochondria,-1.30803692167367,0.270350254529359
354,ACAA2,neurons,-1.97074923866998,0.139352408878459
355,ACACA,actin binding proteins,-1.91166596969275,0.147833894540461
356,ACACA,astrocytes,-1.06452819134903,0.344890538726162
357,ACACA,axon,-4.80551179084756,0.008184511184391
358,ACACA,cytoplasm,-7.81442617735288,0.000403866501132
359,ACACA,neurons,-1.69263836537213,0.18403333572358
360,ACACB,astrocytes,-6.0565707678637,0.002342419831624
361,ACACB,neurons,-6.089260582314,0.002267084617678
362,ACACB,"subcellular,not specified",-7.69102340646649,0.000456910327395
363,ACAD10,astrocytes,-2.84336845673018,0.058229192728339
364,ACAD10,mitochondria,-3.75608480054763,0.023375079551332
365,ACAD10,neurons,-3.56237795201191,0.028371278895925
366,ACAD11,astrocytes,-4.35807409284453,0.012803021351242
367,ACAD11,neurons,-4.67137018072953,0.009359436617618
368,ACAD11,peroxisome,-3.76275281140583,0.023219732769676
369,ACAD12,astrocytes,-5.14100892222524,0.005851782740335
370,ACAD12,"subcellular,not specified",-6.93029250280525,0.000977714842232
371,ACAD8,astrocytes,-1.74663066017823,0.174360434406924
372,ACAD8,mitochondria,-3.11709402315385,0.044285674756499
373,ACAD8,neurons,-2.57931966759639,0.075825573073192
374,ACAD9,astrocytes,-0.647741397980851,0.523226202961189
375,ACAD9,mitochondria,-1.632960360057,0.19535040973222
376,ACAD9,neurons,-0.347659166746376,0.706339579209207
377,ACADL,astrocytes,0.437990683522368,1.5495904706273
378,ACADL,mitochondria,-2.06700862385054,0.126563815982294
379,ACADL,neurons,-1.22259916878337,0.294463810266826
380,ACADM,astrocytes,-0.470687716212434,0.624572591854653
381,ACADM,mitochondria,-1.78332849294546,0.168077769509149
382,ACADM,neurons,-2.11365738805901,0.120795362024065
383,ACADS,astrocytes,-0.394201051680767,0.674218489852386
384,ACADS,mitochondria,-1.24679171223163,0.287425462786442
385,ACADS,neurons,-2.0007195132836,0.135237942725678
386,ACADS,"subcellular,not specified",-4.84892848773623,0.007836770247412
387,ACADSB,astrocytes,-0.517235141797331,0.596166587468222
388,ACADSB,axon,-5.1481418570298,0.005810190867959
389,ACADSB,mitochondria,-2.18986555161593,0.111931796654901
390,ACADSB,neurons,-1.54830188779053,0.21260870089337
391,ACADVL,astrocytes,-0.104665001023993,0.900626180904199
392,ACADVL,axon,-5.4973998488051,0.004097411488979
393,ACADVL,mitochondria,-1.2942348194543,0.274107525852971
394,ACADVL,neurons,-1.84101929531977,0.158655626722478
395,ACAN,astrocytes,-6.15973442019137,0.00211281431805
396,ACAN,axon,-4.67930987250015,0.009285419799914
397,ACAN,neurons,-5.44395758743925,0.004322343325042
398,ACAP2,astrocytes,-3.14670188278048,0.042993691524648
399,ACAP2,axon,-7.11404495379241,0.000813597363483
400,ACAP2,neurons,-4.53126734860692,0.010767021852097
401,ACAP2,"subcellular,not specified",-4.16162649485117,0.015582192940982
402,ACAP3,"subcellular,not specified",-4.43505909547528,0.011854365347584
403,ACAT1,astrocytes,0.062940913225874,1.06496391209012
404,ACAT1,axon,-1.3016691607934,0.27207727308909
405,ACAT1,mitochondria,0.063917853884765,1.06600482700935
406,ACAT1,neurons,0.811122510374608,2.25043270345797
407,ACAT2,astrocytes,-1.44952428525921,0.234681903183962
408,ACAT2,axon,-0.382400858079615,0.682221524375799
409,ACAT2,large protein complex,0.981071420244007,2.66731252415235
410,ACAT2,neurons,0.447353907698905,1.56416777235847
411,ACAT3,astrocytes,-4.9330497018598,0.007204498172445
412,ACBD3,actin binding proteins,-1.80926307488444,0.163774782094192
413,ACBD3,astrocytes,-1.22828676403354,0.292793773048043
414,ACBD3,axon,-5.63176082477905,0.003582262034906
415,ACBD3,neurons,-1.69493779833292,0.183610649561022
416,ACBD5,astrocytes,-3.96525539749206,0.01896319284202
417,ACBD5,axon,-7.98378305546328,0.000340947157694
418,ACBD5,neurons,-5.06715729783477,0.006300304598187
419,ACBD5,peroxisome,-3.70118807236715,0.024694170573639
420,ACBD5,"subcellular,not specified",-7.51368738433838,0.000545565664888
421,ACBD6,astrocytes,-3.7224592299511,0.024174444167336
422,ACBD6,axon,-4.32026732949415,0.0132963285665
423,ACBD6,neurons,-2.44705156176253,0.086548393265868
424,ACBD6,"subcellular,not specified",-2.34632507251985,0.09572028174478
425,ACCS,astrocytes,-4.79379433044738,0.008280976933167
426,ACCS,neurons,-4.89569060594077,0.007478742575993
427,ACCS,"subcellular,not specified",-5.52902517220961,0.003969857130502
428,ACD,astrocytes,-7.87879502211275,0.000378689093954
429,ACD,neurons,-4.87368208956328,0.007645163222782
430,ACD,"subcellular,not specified",-5.16723760701682,0.00570029354117
431,ACE,astrocytes,-5.37942274475453,0.004610482587237
432,ACE,er,-6.1427175254666,0.002149075508279
433,ACE,neurons,-5.87434487597996,0.002810634905951
434,ACHE,astrocytes,-6.30248339766351,0.00183175015984
435,ACHE,neurons,-5.3971235508568,0.004529591360928
436,ACIN1,astrocytes,-1.69753409575456,0.183134560007455
437,ACIN1,large protein complex,-0.124789148805575,0.882682997729084
438,ACIN1,neurons,-1.53305979499526,0.215874125172661
439,ACIN1,"subcellular,not specified",-5.76755212071348,0.003127403658564
440,ACKR3,"subcellular,not specified",-7.56416366996847,0.000518711
441,ACLY,astrocytes,-1.0080230543447,0.364939732911113
442,ACLY,axon,-2.0094500821801,0.134062377692116
443,ACLY,cytoplasm,-2.6539662929948,0.070371544639078
444,ACLY,large protein complex,0.775140431533112,2.17089696816777
